teamId,teamFullName,teamAbbrev
1,New Jersey Devils,NJD
2,New York Islanders,NYI
3,New York Rangers,NYR
4,Philadelphia Flyers,PHI
5,Pittsburgh Penguins,PIT
6,Boston Bruins,BOS
7,Buffalo Sabres,BUF
8,Montréal Canadiens,MTL
9,Ottawa Senators,OTT
10,Toronto Maple Leafs,TOR
12,Carolina Hurricanes,CAR
13,Florida Panthers,FLA
14,Tampa Bay Lightning,TBL
15,Washington Capitals,WSH
16,Chicago Blackhawks,CHI
17,Detroit Red Wings,DET
18,Nashville Predators,NSH
19,St. Louis Blues,STL
20,Calgary Flames,CGY
21,Colorado Avalanche,COL
22,Edmonton Oilers,EDM
23,Vancouver Canucks,VAN
24,Anaheim Ducks,ANA
25,Dallas Stars,DAL
26,Los Angeles Kings,LAK
28,San Jose Sharks,SJS
29,Columbus Blue Jackets,CBJ
30,Minnesota Wild,MIN
52,Winnipeg Jets,WPG
54,Vegas Golden Knights,VGK
55,Seattle Kraken,SEA
68,Utah Mammoth,UTA
