gameDate,gameId,skaterFullName,playerId,homeRoad,teamAbbrev,opponentTeamAbbrev,shootsCatches,positionCode,penaltyShotAttempts,penaltyShotsGoals,penaltyShotsFailed,penaltyShotShootingPct,lastName
2025-10-18,2025020077,Shane Pinto,8481596,H,OTT,NYI,R,C,1,0,1,0.0,Pinto
2025-11-01,2025020182,Kyle Connor,8478398,H,WPG,PIT,L,L,1,1,0,1.0,Connor
2025-11-01,2025020192,Vasily Podkolzin,8481617,H,EDM,CHI,L,R,1,0,1,0.0,Podkolzin
2025-11-01,2025020187,Lane Hutson,8483457,H,MTL,OTT,L,D,1,0,1,0.0,Hutson
2025-11-14,2025020280,Trevor Zegras,8481533,R,PHI,STL,L,C,1,0,1,0.0,Zegras
2025-11-15,2025020290,Miles Wood,8477425,H,CBJ,NYR,L,L,1,0,1,0.0,Wood
2025-12-05,2025020437,Adam Lowry,8476392,H,WPG,BUF,L,C,1,0,1,0.0,Lowry
2025-12-07,2025020453,Trevor Zegras,8481533,H,PHI,COL,L,C,1,0,1,0.0,Zegras
2025-12-10,2025020477,Joel Farabee,8480797,H,CGY,DET,L,L,1,1,0,1.0,Farabee
2025-12-11,2025020490,Nathan MacKinnon,8477492,H,COL,FLA,R,C,1,0,1,0.0,MacKinnon
2025-12-11,2025020480,Ty Dellandrea,8480848,R,SJS,TOR,R,C,1,0,1,0.0,Dellandrea
2025-12-13,2025020500,Artemi Panarin,8478550,H,NYR,MTL,R,L,1,1,0,1.0,Panarin
2025-12-16,2025020528,Jordan Eberle,8474586,H,SEA,COL,R,R,1,0,1,0.0,Eberle
2025-12-27,2025020588,Carson Soucy,8477369,R,NYR,NYI,L,D,1,0,1,0.0,Soucy
2025-12-31,2025020623,Cole Smith,8482062,R,NSH,VGK,L,R,1,0,1,0.0,Smith
2026-01-02,2025020640,Jordan Kyrou,8479385,H,STL,VGK,R,R,1,0,1,0.0,Kyrou
2026-01-05,2025020665,Jonathan Huberdeau,8476456,H,CGY,SEA,L,L,1,0,1,0.0,Huberdeau
2026-01-05,2025020663,Ryan Strome,8476458,R,ANA,WSH,R,C,1,0,1,0.0,Strome
2026-01-05,2025020663,Ryan Leonard,8484186,H,WSH,ANA,R,R,1,0,1,0.0,Leonard
2026-01-06,2025020674,Connor McDavid,8478402,H,EDM,NSH,L,C,1,1,0,1.0,McDavid
2026-01-10,2025020701,Zach Benson,8484145,H,BUF,ANA,L,L,1,0,1,0.0,Benson
2026-01-10,2025020697,Vincent Trocheck,8476389,R,NYR,BOS,R,C,1,0,1,0.0,Trocheck
2026-01-13,2025020732,Emil Heineman,8482476,R,NYI,WPG,L,L,1,1,0,1.0,Heineman
2026-01-21,2025020788,Scott Laughton,8476872,H,TOR,DET,L,C,1,0,1,0.0,Laughton
2026-01-23,2025020809,Jansen Harkins,8478424,R,ANA,SEA,L,C,1,0,1,0.0,Harkins
2026-01-25,2025020821,Mitch Marner,8478483,R,VGK,OTT,R,R,1,0,1,0.0,Marner
2026-01-26,2025020829,Connor McDavid,8478402,H,EDM,ANA,L,C,1,0,1,0.0,McDavid
2026-01-31,2025020869,Auston Matthews,8479318,R,TOR,VAN,L,C,1,0,1,0.0,Matthews
2026-03-20,2025021094,Eric Robinson,8480762,R,CAR,TOR,L,L,1,1,0,1.0,Robinson
2026-03-21,2025021108,Lukas Reichel,8482117,R,BOS,DET,L,L,1,0,1,0.0,Reichel
2026-03-24,2025021125,Noah Cates,8480220,H,PHI,CBJ,L,L,1,0,1,0.0,Cates
2026-03-31,2025021179,Anders Lee,8475314,R,NYI,BUF,L,L,1,0,1,0.0,Lee
2026-04-02,2025021204,Ryan O'Reilly,8475158,R,NSH,LAK,L,C,1,0,1,0.0,O'Reilly
2026-04-11,2025021263,Anthony Mantha,8477511,H,PIT,WSH,L,R,1,0,1,0.0,Mantha
